skip,language,term,transliteration,item,explanation,group,sense,source,katzer,katzer tr,checked,page,reference,link
,Breton,pebre,,pebre,,pippali,,Katzer,"Pebr, Pebr du, Pebr gwenn, Pebr glas",,,,,
,Bulgarian,пи́пер ,píper,píper,,pippali,spice,Wiktionary,"Пипер, Пиперени зърна","Piper, Pipereni zurna",,,,
,Burmese,ငရုတ်ကောင်း ,nga.rutkaung:,nga.rutkaung:,,other,spice,Wiktionary,,,,,,https://en.wiktionary.org/wiki/%E1%80%84%E1%80%9B%E1%80%AF%E1%80%90%E1%80%BA%E1%80%80%E1%80%B1%E1%80%AC%E1%80%84%E1%80%BA%E1%80%B8
,Cantonese,胡椒,wu4 ziu1,wu4 ziu1,,hujiao,spice,Wiktionary,,,,,,
,Catalan,pebre,,pebre,,pippali,spice,Wiktionary,,,,,,
yes,Chakma,𑄉𑄮𑄣𑄴 𑄟𑄧𑄢𑄨𑄌𑄴,gol morich,gol morich,,marica,,Katzer,,,,,,
,Chechen,бурч ,burč,burč,,marica,spice,Wiktionary,,,,,,
,Cherokee,ᏗᏆᏲᏙᏗ ,diquayododi,diquayododi,,other,spice,Wiktionary,,,,,,
,Coptic,"ⲡⲓⲡⲉⲣ, ⲁⲗⲃⲟⲩⲗⲃⲟⲩⲗ ","piper, alboulboul","piper, alboulboul",,pippali,spice,Wiktionary,"ⲡⲉⲡⲣⲟⲥ, ⲫⲓⲡⲣⲟⲥ","Pepros, Phipros",,,,
,Crimean Tatar,biber,,biber,,pippali,spice,Wiktionary,,,,,,
,Czech,pepř,,pepř,,pippali,spice,Wiktionary,,,,,,
,Dalmatian,pepro,,pepro,,pippali,spice,Wiktionary,,,,,,
,Danish,peber,,peber,,pippali,spice,Wiktionary,,,,,,
,Dhivehi,އަސޭމިރުސް‎ ,aseymirus,aseymirus,aseymirus,marica,spice,Wiktionary,,asēmirus,yes,175,Maniku,https://dsal.uchicago.edu/cgi-bin/app/maniku_query.py?qs=asey&matchtype=default
,Dogri,काली मिर्च,kali mirch,kali mirch,,marica,,Katzer,,,,,,
,Dutch,peper,,peper,1. clearly borrowed,pippali,spice,Wiktionary,,,,,WOLD,
,Egyptian Arabic,فلفل‎,felfel,felfel,,pippali,spice,Wiktionary,,,,,,
,Elfdalian,pipär,,pipär,,pippali,spice,Wiktionary,,,,,,
,English,pepper,,pepper,1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Erzya,порцька,porcʹka,porcʹka,?,other,spice,Wiktionary,,,,,,
,Esperanto,pipro,,pipro,,pippali,spice,Wiktionary,,,,,,
,Estonian,pipar,,pipar,,pippali,plant,Wiktionary,,,,,,
,Faroese,pipar,,pipar,,pippali,spice,Wiktionary,,,,,,
,Finnish,pippuri,,pippuri,,pippali,spice,Wiktionary,,,,,,
,French,poivre,,poivre,,pippali,spice,Wiktionary,,,,,,
,Friulian,pevar,,pevar,,pippali,spice,Wiktionary,,,,,,
,Galician,pimenta,,pimenta,,pigment,spice,Wiktionary,Pementa,,,,,
yes,Garo,golmoris,,golmoris,,marica,,Katzer,,,,,,
,Georgian,პილპილი,ṗilṗili,ṗilṗili,pepper,pippali,spice,Wiktionary,,,,,,
yes,Georgian,წიწაკა,c̣ic̣aḳa,c̣ic̣aḳa,chili,other,spice,Wiktionary,,,,,,
,German,Pfeffer,,Pfeffer,,pippali,spice,Wiktionary,,,,,,
,Greenlandic,qasilitsoq,,qasilitsoq,,other,spice,Wiktionary,qasilitsut,,yes,212,Lorentzen,
,Gujarati,મરી,mari,mari,,other,,Katzer,,,,,,
,Gurindji,pipa,,pipa,1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Haitian Creole,piman,,piman,,pigment,spice,Wiktionary,,,,,,
,Hakka,胡椒 ,fù-chêu,fù-chêu,,hujiao,spice,Wiktionary,,,,,,
,Hausa,màsōr̃o,masoro,màsóor̃óo,3. perhaps borrowed,other,,Katzer,,,,,WOLD,
,Hawaiian,pepa (2),,pepa (2),1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Hindi,"मिर्च, गोल मिर्च","mirc, gol mirch",mirc,,marica,spice,Wiktionary,,,,,,
,Hungarian,bors,,bors,,marica,spice,Wiktionary,,,,,,
,Hunsrik,Peffer,,Peffer,,pippali,spice,Wiktionary,,,,,,
,Icelandic,pipar,,pipar,,pippali,spice,Wiktionary,,,,,,
,Ido,pipro,,pipro,,pippali,spice,Wiktionary,,,,,,
,Indonesian,merica,,merica,1. clearly borrowed,marica,spice,Wiktionary,,,,,WOLD,
,Indonesian,lada,,lada,? 5. no evidence for borrowing,other,spice,Wiktionary,,,,,WOLD,
,Iraqw,pilipili,,pilipili,1. clearly borrowed,pippali,spice,WOLD,,,,,,
,Irish,piobar,,piobar,,pippali,spice,Wiktionary,,,,,,
,Italian,pepe,,pepe,,pippali,spice,Wiktionary,,,,,,
