,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
34,afr,afri1274,Afrikaans,-31.0,22.0,Germanic,Indo-European,Africa,ZA,2 Words derived from Min Nan Chinese te,language,wals1
35,agd,agar1252,Agarabi,-6.16666666667,146.0,Eastern Highlands,Trans-New Guinea,Papunesia,PG,,language,wals1
36,agq,aghe1239,Aghem,6.66666666667,10.0,Bantoid,Niger-Congo,Africa,CM,,language,wals1
37,ahh,aghu1255,Aghu,-6.16666666667,140.166666667,Awju-Dumut,Trans-New Guinea,Papunesia,ID,,language,wals1
38,agx,aghu1253,Aghul,41.75,47.6666666667,Lezgic,Nakh-Daghestanian,Eurasia,RU,,language,wals1
39,agt,cent2084,Agta (Central),17.9666666667,121.833333333,Greater Central Philippine,Austronesian,Papunesia,PH,,language,wals1
40,duo,dupa1235,Agta (Dupaningan),18.0,122.083333333,Greater Central Philippine,Austronesian,Papunesia,PH,,language,wals1
41,agu,agua1252,Aguacatec,15.4166666667,-91.3333333333,Mayan,Mayan,North America,GT,,language,wals1
42,agr,agua1253,Aguaruna,-5.0,-78.0,Jivaroan,Jivaroan,South America,PE,,language,wals1
43,aht,ahte1237,Ahtna,62.0,-145.0,Athapaskan,Na-Dene,North America,US,1 Words derived from Sinitic cha,language,wals1
44,tba,aika1237,Aikaná,-12.6666666667,-60.6666666667,Aikaná,Aikaná,South America,BR,,language,wals1
45,ain,ainu1240,Ainu,43.0,143.0,Ainu,Ainu,Eurasia,JP,,language,wals1
46,ahp,apro1235,Aizi,5.25,-4.5,Kru,Niger-Congo,Africa,CI,,language,wals1
47,aja,ajas1235,Aja,7.33333333333,25.6666666667,Kresh,Central Sudanic,Africa,SD CF,,language,wals1
48,ajg,ajab1235,Ajagbe,7.0,1.75,Kwa,Niger-Congo,Africa,TG BJ,,language,wals1
49,aji,ajie1238,Ajië,-21.3333333333,165.5,Oceanic,Austronesian,Papunesia,NC,,language,wals1
