,Unnamed: 0,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
1894,1894,oss,osse1243,Ossetic,43.0,44.0,Iranian,Indo-European,Eurasia,GE RU,cha,language,wals1
1913,1913,pkn,paka1251,Pakanha,-14.5,142.416666667,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU,other,language,wals1
1924,1924,pan,panj1256,Panjabi,31.0,74.0,Indic,Indo-European,Eurasia,IN PK,cha,language,wals1
1932,1932,pst,cent1973,Pashto,33.0,67.0,Iranian,Indo-European,Eurasia,AF PK,cha,language,wals1
1933,1933,pqm,male1292,Passamaquoddy-Maliseet,45.0,-67.0,Algonquian,Algic,North America,US CA,other,language,wals1
1946,1946,pes,west2369,Persian,32.0,54.0,Iranian,Indo-European,Eurasia,IR,cha,language,wals1
1969,1969,pon,pohn1238,Pohnpeian,6.88333333333,158.25,Oceanic,Austronesian,Papunesia,FM,te,language,wals1
1974,1974,pol,poli1260,Polish,52.0,20.0,Slavic,Indo-European,Eurasia,PL,other,language,wals1
1985,1985,por,port1283,Portuguese,39.0,-8.0,Romance,Indo-European,Eurasia,PT,cha,language,wals1
1989,1989,oci,occi1239,Provençal,44.0,6.0,Romance,Indo-European,Eurasia,FR,te,language,wals1
2001,2001,aar,afar1241,Qafar,12.0,42.0,Lowland East Cushitic,Afro-Asiatic,Africa,ER ET DJ,cha,language,wals1
2007,2007,quy,ayac1239,Quechua (Ayacucho),-14.0,-74.0,Quechuan,Quechuan,South America,PE,te,language,wals1
2032,2032,rel,rend1243,Rendille,2.0,37.5,Lowland East Cushitic,Afro-Asiatic,Africa,KE,other,language,wals1
2044,2044,rmo,sint1235,Romani (Burgenland),47.5,16.5,Indic,Indo-European,Eurasia,AT,te,language,wals1
2045,2045,rmy,vlax1238,Romani (Kalderash),45.0,21.0,Indic,Indo-European,Eurasia,RS,other,language,wals1
2046,2046,rmy,vlax1238,Romani (Lovari),47.0,21.5,Indic,Indo-European,Eurasia,RO HU,te,language,wals1
2048,2048,,,Romani (Sepecides),38.25,27.0,Indic,Indo-European,,TR,cha,language,wals1
2051,2051,roh,roma1326,Romansch,46.6666666667,9.16666666667,Romance,Indo-European,Eurasia,CH,te,language,wals1
2070,2070,rus,russ1263,Russian,56.0,38.0,Slavic,Indo-European,Eurasia,RU,cha,language,wals1
