,skip,language,term,transliteration,item,group,iso,glcode,level,branch,family,macroarea,country,lat,lon,from,text
32,,Eastern Armenian,կինամոն,kinamon,kinamon,kinnamon,hye,nucl1235,language,,Indo-European,Eurasia,AM AZ GE IR SY TR,40.0,45.0,glot,կինամոն<br>kinamon<br>Language: Eastern Armenian<br>Family: Indo-European
8,,Belarusian,кары́ца,karýca,karýca,korica,bel,bela1254,language,,Indo-European,Eurasia,BY LT LV PL RU UA,53.2307,25.6038,glot,кары́ца<br>karýca<br>Language: Belarusian<br>Family: Indo-European
136,,Ukrainian,кори́ця,korýcja,korýcja,korica,ukr,ukra1253,language,Slavic,Indo-European,Eurasia,UA,49.0,33.0,wals1,кори́ця <br>korýcja<br>Language: Ukrainian<br>Family: Indo-European
107,,Russian,кори́ца,koríca,koríca,korica,rus,russ1263,language,Slavic,Indo-European,Eurasia,RU,56.0,38.0,wals1,кори́ца <br>koríca<br>Language: Russian<br>Family: Indo-European
68,,Kirghiz,корица,qoritsa,qoritsa,korica,kir,kirg1245,language,Turkic,Altaic,Eurasia,KG,42.0,75.0,wals1,корица <br>qoritsa<br>Language: Kirghiz<br>Family: Altaic
116,,Slovak,škorica,,škorica,korica,slk,slov1269,language,Slavic,Indo-European,Eurasia,SK,49.0,20.0,wals1,škorica<br>Language: Slovak<br>Family: Indo-European
27,,Czech,skořice,,skořice,korica,ces,czec1258,language,Slavic,Indo-European,Eurasia,CZ,50.0,15.0,wals1,skořice<br>Language: Czech<br>Family: Indo-European
118,,Somali,qorfe,,qorfe,qirfa,som,soma1255,language,Lowland East Cushitic,Afro-Asiatic,Africa,SO,3.0,45.0,wals1,qorfe<br>Language: Somali<br>Family: Afro-Asiatic
120,,Standard Arabic,قِرْفَة,qirfa,qirfa,qirfa,arb,stan1318,language,,Afro-Asiatic,Eurasia,AE BH DJ DZ EG ER IL IQ JO KM KW LB LY MA OM PS QA SA SD SO SY TD TN TZ YE,27.9625,43.8525,glot,قِرْفَة‎ <br>qirfa<br>Language: Standard Arabic<br>Family: Afro-Asiatic
2,,Amharic,ቀረፋ,ḳäräfa,ḳäräfa,qirfa,amh,amha1245,language,Semitic,Afro-Asiatic,Africa,ET,10.0,38.0,wals1,ቀረፋ<br>ḳäräfa<br>Language: Amharic<br>Family: Afro-Asiatic
33,,Egyptian Arabic,قرفة,ʾerfa,ʾerfa,qirfa,arz,egyp1253,language,,Afro-Asiatic,Africa,EG IL LY,31.0,31.0,glot,قرفة‎ <br>ʾerfa<br>Language: Egyptian Arabic<br>Family: Afro-Asiatic
131,,Tigrinya,ቃርፋ,ḳarfa,ḳarfa,qirfa,tir,tigr1271,language,Semitic,Afro-Asiatic,Africa,ER ET,14.5,38.5,wals1,ቃርፋ <br>ḳarfa<br>Language: Tigrinya<br>Family: Afro-Asiatic
50,,Hausa,kirfa,,kirfa,qirfa,hau,haus1257,language,West Chadic,Afro-Asiatic,Africa,NG NE,12.0,7.0,wals1,kirfa<br>Language: Hausa<br>Family: Afro-Asiatic
52,,Hijazi Arabic,قرفة,girfa,girfa,qirfa,acw,hija1235,language,,Afro-Asiatic,Eurasia,SA YE,22.8346,38.9237,glot,قرفة‎ <br>girfa<br>Language: Hijazi Arabic<br>Family: Afro-Asiatic
93,,Moroccan Arabic,قرفة,qarfa,qarfa,qirfa,ary,moro1292,language,,Afro-Asiatic,Africa,DZ EH MA,32.5,-7.5,glot,قرفة‎ <br>qarfa<br>Language: Moroccan Arabic<br>Family: Afro-Asiatic
109,,Sanskrit,दारुचिनी,dārucinī,dārucinī,darchin,san,sans1269,language,,Indo-European,Eurasia,IN,20.0,77.0,glot,दारुचिनी<br>dārucinī<br>Language: Sanskrit<br>Family: Indo-European
21,,Classical-Middle Armenian,դարիճենիկ,daričenik,daričenik,darchin,xcl,clas1249,language,,Indo-European,Eurasia,AM,38.592316,41.346422,glot,դարիճենիկ<br>daričenik<br>Language: Classical-Middle Armenian<br>Family: Indo-European
5,,Assamese,দালচেনি,dalseni,dalseni,darchin,asm,assa1263,language,Indic,Indo-European,Eurasia,IN,26.0,93.0,wals1,দালচেনি <br>dalseni<br>Language: Assamese<br>Family: Indo-European
