include,id,nature,category,tags,species,species by,subspecies,species syn,species syn by,species alt,wyk name,amar name,hu name,other name,wikipedia,POWO,GBIF,family,part used,region of origin,country,lat,lon,source,year recorded in TCM,macroarea,range,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,usage,pharmaceutical,pharma en,TCM,TCM DB,TCM name,TCM pinyin,desc,medicinal group,meridian,action,Hu zh,Ayurveda,Words,Britannica,Notes,English,En alt,Plant name,Chinese WN,Chinese simp,Chinese,Ch transliteration,Jyutping,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Indonesian,Malay,Persian,FOC,taste/smell,heat,Major uses,Culinary,Medicinal,Köhler,Wyk,Hu,Hu en,Extra,sym,hu_1990,IPNI,TPL,TROP,EOL,WFO,NCBI,NCBI id
out,Sodium Sulfate,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Natrii Sulfas,Sodium Sulfate,yes,polyu-tcm,芒硝,mángxiāo,"Crystalline substance purified from a mineral of sulfates of Glauber's salts group, containing mainly hydrated sodium sulfate (Na2SO4‧10H2O)",Induce catharsis medicinal,"salty, bitter; cold","Stomach, Large intestine",,,,,,,,,,,芒硝,mángxiāo,mong4 siu1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Solomonseal Rhizome,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Polygonati Rhizoma,Solomonseal Rhizome,yes,polyu-tcm,黃精,huángjīng,"Dried rhizome of Polygonatum kingianum Coll. et Hemsl., Polygonatum sibirium Red. or Polygonatum cyrtonema Hua (Fam. Liliaceae)",Yin-tonifying medicinal,sweet; neutral,"Spleen, Lung, Kidney",,,,,,,,,,,黃精,huángjīng,wong4 zing1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Songaria Cynomorium Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Cynomorii Herba,Songaria Cynomorium Herb,yes,polyu-tcm,鎖陽,suǒyáng,Dried fleshy stem of Cynomoerium songaricum Rupr. (Fam. Cynomoriaceae),Yang-tonifying medicinal,sweet; warm,"Spleen, Kidney, Large intestine",,,,,,,,,,,鎖陽,suǒyáng,so2 joeng4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,sorrel,,,,Rumex species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,spearmint,,herb,,Mentha spicata ,,,,,,,,,,,,,Lamiaceae,leaf; herb,Eur,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Spikemoss,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Selaginellae Herba,Spikemoss,yes,polyu-tcm,卷柏,juànbǎi,Dried herb of Selaginella tamariscina (Beauv.) Spring or Selaginella pulvinata (Hook. et Grev.) Maxim. (Fam. Selaginellaceae),Blood-activating menstruation regulating medicinal,pungent; neutral,"Liver, Heart",,,,,,,,,,,卷柏,juànbǎi,gyun2 paak3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Spine Date Seed,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Ziziphi Spinosae Semen,Spine Date Seed,yes,polyu-tcm,酸棗仁,suānzǎorén,Dried ripe seed of Ziziphus jujuba Mill. var. spinosa (Bunge) Hu ex H.F. Chou (Fam. Rhamnaceae),Heart-nourishing tranquillizing medicinal,"sweet, sour; neutral","Liver, Gallbladder, Heart",,,,,,,,,,,酸棗仁,suānzǎorén,syun1 zou2 jan4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Stachyurus Pith,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Stachyur Medulla,Stachyurus Pith,yes,polyu-tcm,小通草,xiǎotōngcǎo,Dried stem pith of Stachyurus himalaicus Hook. f. et Thoms. or Stachyurus chinensis Franch. (Fam. Stachyuraceae),Strangury-relieving diuretic medicinal,"sweet, bland; cold","Lung, Stomach",,,,,,,,,,,小通草,xiǎotōngcǎo,siu2 tung1 cou2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Starwort Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Stellariae Radix,Starwort Root,yes,polyu-tcm,銀柴胡,yíncháihú,Dried root of Stellaria dichotoma L. var. lanceolata Bge. (Fam. Caryophyllaceae),Deficiency heat-clearing medicinal,sweet; slightly cold,"Liver, Stomach",,,,,,,,,,,銀柴胡,yíncháihú,ngan4 caai4 wu4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Stemona Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Stemonae Radix,Stemona Root,yes,polyu-tcm,百部,bǎibù,"Dried root tuber of Stemona sessilifolia (Miq.) Miq., Stemona japonica (Bl.) Miq. or Stemona tuberosa Lour. (Fam. Stemonaceae)",Cough-suppressing and panting-calming medicinal,"sweet, bitter; slightly warm",Lung,,,,,,,,,,,百部,bǎibù,baak3 bou6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Stiff Silkworm,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Batryticatus Bombyx,Stiff Silkworm,yes,polyu-tcm,僵蠶,jiāngcán,Dried body of the 4-5 stage larva of Bombyx mori Linnaeus. (Fam. Bombycidae) died of infection (or artificial infection) of Beauveria bassiana (Bals.) Vuillant,Liver-pacifying and wind-extinguishing medicinal,"pungent, salty; neutral","Liver, Lung, Stomach",,,,,,,,,,,僵蠶,jiāngcán,goeng1 caam4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,storax,,medicine,,Liquidambar orientalis,Miller,,,,,,,,,https://en.wikipedia.org/wiki/Liquidambar_orientalis,https://powo.science.kew.org/taxon/430714-1,,Altingiaceae,resin,As M,,36,28,hu_history_1990,547,Asia,E. Aegean Islands (Rodos) to W. & SW. Türkiye,"East Aegean Is., Turkey",2,,1,3.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,蘇合香,sūhéxiāng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,
out,Stringy Stonecrop Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Sedi Herba,Stringy Stonecrop Herb,yes,polyu-tcm,垂盆草,chúipéncǎo,Fresh or dried herb of Sedum sarmentosum Bunge (Fam. Crassulaceae),Dampness-draining anti-icteric medicinal,"sweet, bland; cool","Liver, Gallbladder, Small intestine",,,,,,,,,,,垂盆草,chúipéncǎo,seoi4 pun4 cou2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Strink-bug,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Aspongopus,Strink-bug,yes,polyu-tcm,九香蟲,jǐuxiāngchóng,Dried body of Aspongopus chinensis Dallas (Fam. Pentatomidae),Qi-regulating medicinal,salty; warm,"Liver, Spleen, Kidney",,,,,,,,,,,九香蟲,jǐuxiāngchóng,gau2 hoeng1 cung4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
