,name,other,comma,dot
59,"Canella, white cinnamon", Canella winterana,Caribbean,
60,"Cannabis, hemp, ganja", Cannabis sativa,eastern Europe,
61,Canton rhubarb, see Rhubarb root,,
62,"Carap, white crabwood", Carapa guianensis,Central and South America,
63,Caraway, seed of Carum carvi,central Europe,
64,Cardamom, fruit of Elettaria cardamomum,",",
65,cassia, see Chinese cinnamon; Padang,,
66,Castoreum, secretion of Castor fiber,Europe and Asia,
67,Cayenne pepper, see Chilli,,
68,"Cekur, kencur", root of Kaempferia galanga,India,
69,'Celtic nard', probably Valeriana celtica,southern Europe,
70,Ceylon cinnamon, see Cinnamon,,
71,chile pepper, see Chilli,,
72,"Chilli, ancho, Cayenne pepper, chile pepper, jalapeño, paprika, *pepper, *pimento, red pepper", fruit of Capsicum annuum,Central America,"See also Rocoto, Scotch bonnet, Tabasco pepper, Uchu, Ulupica"
73,"China root, Chinese sarsaparilla", Smilax pseudo-china,eastern Asia,
74,Chinese camphor, see Camphor,,
75,Chinese cardamom, fruit of Amomum globosum,China,
76,"Chinese cinnamon, cassia", bark of Cinnamomum cassia,"Cinnamomum chekiangense and other species, China",
77,Chinese parsley, see Coriander,,
78,"Chinese pepper, *fagara", fruit of Zanthoxylum armatum,"Zanthoxylum planispinum and other species, China",
79,Chinese sarsaparilla, see China root,,
80,Chios balm, see Cyprus balm,,
81,Chocolate, seed of Theobroma Cacao,Central America,See also Nicaragua chocolate
82,cilantro, see Coriander,,
83,"Cinnamon, Ceylon cinnamon", bark of Cinnamomum zeylanicum,Sri Lanka,See also Canela; Canella; Chinese cinnamon; Padang cinnamon: Saigon cinnamon
84,"Citronella oil, nard grass", Cymbopogon nardus and C. winterianus,southern Asia,
85,Civet, secretion of Viverra civetta and other species,Africa and Asia,
86,Cloves, bud of Syzygium aromaticum,northern Moluccas,
87,Coca, leaf of Erythroxylum coca and E. novogranatense,South America,
88,Cochineal, Dactyiopus coccus,Central,
89,"Coffee, Arabica coffee", seed of Coffea arabica,north-east Africa,See also Robusta coffee
90,"Coriander, cilantro", fruit of Coriandrum sativum,eastern Mediterranean,
91,Costmary, leaf of Tanacetum balsamina,perhaps Near East,
92,costus, see Putchuk,,
93,country pepper, see Scotch bonnet,,
94,Cubebs, fruit of Piper cubeba,Indonesia,See also Ashanti pepper
95,Cumin, seed of Cuminum cyminum,southern Europe,
96,"Cyprus balm, *Chios balm, tsikoudia", resin of Pistacia atlantica,Mediterranean lands,
97,Dragon's blood, juice of Dracaena cinnabari,D,"schizantha and D. draco, north-east Africa, Socotra and Canary Islands"
98,eaglewood, see Aloeswood,,
99,Egyptian balsam, see Zachum oil,,
100,Egyptian thorn, see Gum arabic,,
101,Elecampane, leaf of Inula helenium,Europe,
102,"Elemi, brea, Manila resin", Canarium luzonicum,C,"commune and other species, Malay archipelago"
103,"Ethiopian cardamom, Korarima cardamom", fruit of Aframomum korarima,Ethiopia,
104,Ethiopian cumin, see Ajowan,,
105,fagara, see Chinese pepper; Japanese pepper; Sichuan pepper,,
106,false myrrh, see Opopanax,,
107,"Frankincense, olibanum", resin of Boswellia carterii,B,"frereana and B. sacra, Arabia and north-east Africa"
108,"galanga, galingale", see Greater galanga; Lesser galanga,,
109,Galbanum, resin of Ferula galbaniflua,Iran,
110,ganja, see Cannabis,,
111,gharroowood, see Aloeswood,,
112,Giant fennel, Ferula communis,north Africa,
113,gingelly, see Sesame,,
114,Ginger, root of Zingiber officinale,China,See also Wild ginger
115,Ginger-grass, root of Cymbopogon schoenanthus,south-west Asia,
116,Ginseng, root of Panax ginseng and P. pseudoginseng,northern Asia,See also American ginseng; Sanchi ginseng
117,gith, see Nigella,,
118,Gorka, fruit of Garcinia pictoria,south-east Asia,
119,"Grains of Paradise, Guinea grains, *Guinea pepper, *Melegueta pepper", fruit of Aframomum melegueta,west Africa,
120,"Grains of Selim, Ethiopian pepper, habzeli, kimba pepper, xylopia", fruit of Xylopia aethiopica,Africa,
121,greater cardamom, see Nepaul cardamom,,
122,"Greater galanga, galanga, laos, lengkuas", root of Alpinia galanga,south-east Asia,
123,Guaiacum, resin of Guaiacum offlcinale,Caribbean,
124,guggul, see Gum guggul,,
125,Guinea grams, see Grains of Paradise,,
126,Guinea pepper, see Ashanti pepper; Benin pepper; Grains of Paradise,,
127,Gum ammoniac, juice of Dorema ammoniacum,Near East,
128,"Gum arabic, Egyptian thorn", Acacia nilotica,Red Sea shores,
129,gum benzoin, see Siam benzoin; Sumatra benzoin,,
130,"Gum guggul, bdellium", resin of Commiphora mukul,Sind,
131,Gum tragacanth, resin of Astragalus gummifer,"and other species, southwest Asia",
132,Gumbo-limbo resin, Bursera simaruba,Caribbean,
133,habañero, see Scotch bonnet,,
134,habzeli, see Grains of Selim,,
135,hemp, see Cannabis,,
136,hing, see Asafoetida,,
137,Honduras balsam, see Sweet gum,,
138,horns of abath, see Rhinoceros horn,,
139,Horseradish, root of Armoracia rusticana,northern Eurasia,
140,Hypocistis, juice of Cytinus hypocistis,Europe,
141,iris root, see Orris,,
142,jalapeño, see Chilli,,
143,Jamaica pepper, see Allspice,,
144,"Japanese pepper, *fagara", fruit of Zanthoxylum piperitum,Japan,
145,Japanese star anise; shikimi, fruit of Illicium anisatum,Japan,
146,Jasmine, flower of ]asminum officinale,central Asia,See also Sambac
147,Java cinnamon, see Padang cinnamon,,
148,Java long pepper, fruit of Piper retrofractum,Indonesia,
149,Juniper berry, Juniperus communis,"and other species, Eurasia",
150,kalamos, see 'Calamus',,
151,Kao-liang ginger, Alpinia kumatake,China,
152,Karanda, fruit of Carissa carandas,India,
153,Kava, Piper methysticum,Pacific islands,
154,kencur, see Cekur,,
155,"Kepulaga, round cardamom, Siam cardamom", fruit of Amomum compactum,Indonesia,
156,kimba pepper, see Grains of Selim,,
157,Korarima cardamom, see Ethiopian cardamom,,
158,kuchoora, see Zerumbet,,
159,kushth, see Putchuk,,
160,"Ladanum, *amber", resin of Cistus ladaniferus,Arabia,
161,Lakawood, Dalbergia parviflora,southern Asia,
162,laos, see Greater galanga,,
163,Lemon grass, root of Cymbopogon citratus,southern Asia,
164,lengkuas, see Greater galanga,,
165,"Lentisk, shina oil", Pistacia lentiscus,Near East,
166,"Lesser galanga, galanga", root of Alpinia officinarum,China,
167,Levant storax, see Liquid storax,,
168,Licorice, root of Glycyrrhiza glabra,Russia,See also Wild licorice
169,"Liquid storax, Levant storax", resin of Liquidambar orientalis,Near East,
170,liquidambar, see Sweet gum; Liquid storax,,
171,locoto, see Rocoto,,
172,Long pepper, fruit of Piper longum,India,See also Java long pepper
173,mace, see Nutmeg,,
174,Madagascar cardamom, fruit of Aframomum angustifolium,Madagascar,
175,malobathrum, see Tejpat,,
176,Manila resin, see Elemi,,
177,Mastic, resin of Pistacia lentiscμs var. chia,Greece,See also Bombay mastic; Peruvian mastic
